0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.15,0.16161616161616163,0.02040816326530612,0.19387755102040816,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.20202020202020202,0.030612244897959183,0.24489795918367346,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0707070707070707,0.0,0.29591836734693877,1.0,1.0,1.0,0.5
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.25252525252525254,0.05102040816326531,0.3469387755102041,1.0,1.0,1.0,0.5
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.5050505050505051,0.12244897959183673,0.5,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.5800000000000001,0.696969696969697,0.8673469387755102,0.29591836734693877,1.0,0.0,0.0,1.0
0.0,0.0,0.5,0.5,0.0,0.09090909090909091,0.0,0.0,0.35,0.12121212121212122,0.0,0.16326530612244897,1.0,1.0,1.0,0.5
0.0,0.0,0.5,0.5,0.0,0.09090909090909091,0.0,0.0,0.5,0.10101010101010101,0.15306122448979592,0.21428571428571427,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5,1.0,0.9090909090909091,1.0,1.0,0.88,0.7878787878787878,0.8367346938775511,0.5,1.0,1.0,1.0,1.0
1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.30000000000000004,0.19191919191919193,0.7448979591836735,0.29591836734693877,1.0,1.0,1.0,1.0
0.0,0.0,0.5,0.5,0.0,0.09090909090909091,0.0,0.0,0.5,0.8888888888888888,0.30612244897959184,0.8061224489795918,0.0,0.0,0.0,1.0
0.0,0.0,0.5,0.5,0.5,0.09090909090909091,0.0,0.0,0.19,0.06060606060606061,0.19387755102040816,0.11224489795918367,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.05,0.010101010101010102,0.0,0.10204081632653061,1.0,1.0,1.0,0.5
0.07692307692307693,0.07692307692307693,0.5,0.6,0.0,0.09090909090909091,0.0,0.0,0.2,0.1414141414141414,0.12244897959183673,0.1836734693877551,1.0,1.0,1.0,0.5
1.0,1.0,0.5,0.4,1.0,0.9090909090909091,1.0,0.0,0.38,0.29292929292929293,0.5510204081632653,0.3979591836734694,0.0,0.0,0.0,0.0
1.0,1.0,0.5,0.6,1.0,1.0,1.0,1.0,0.7,0.595959595959596,0.7755102040816326,0.33673469387755106,1.0,1.0,1.0,1.0
0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.36,0.30303030303030304,0.20408163265306123,0.8061224489795918,1.0,1.0,1.0,0.0
0.0,0.0,0.5,0.5,0.0,0.09090909090909091,0.0,0.0,0.55,0.13131313131313133,0.35714285714285715,0.9081632653061225,1.0,1.0,1.0,0.0
1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.31000000000000005,0.8484848484848485,0.6326530612244898,0.030612244897959218,1.0,1.0,1.0,1.0
0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.7,0.5050505050505051,0.40816326530612246,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.4,0.3939393939393939,0.6632653061224489,0.09183673469387754,0.0,0.0,0.0,1.0
